初始基址	EN_NAME	名称	JP_NAME	激活		ID		等级		特性		EXP				技能1		技能2		技能3		技能4		技能5		技能6		技能7		技能8		力	魔	耐	速	运														
main+022746B0	Lachesis	拉刻西斯	ラケシス	01	00	A2	00	23	00	B4	00	00	00	00	00	4B	01	15	00	5F	03	74	01	00	00	00	00	00	00	00	00	12	1A	16	19	15	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022746E0	Lakshmi	吉祥天女	ラクシュミ	01	00	0A	01	45	00	B3	00	00	00	00	00	5B	00	2E	01	16	00	00	00	00	00	00	00	00	00	00	00	27	31	29	2F	26	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274710	Lamia	拉弥亚	ラミア	01	00	20	00	1A	00	4E	00	00	00	00	00	3C	00	50	01	DD	00	00	00	00	00	00	00	00	00	00	00	15	0F	12	13	0C	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274740	Leanan Sidhe	莲南希	リャナンシー	01	00	3F	00	13	00	5E	00	00	00	00	00	5A	01	BF	00	00	00	00	00	00	00	00	00	00	00	00	00	09	11	0C	10	0A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274770	Legion	恶灵军团	レギオン	01	00	21	00	26	00	B6	00	00	00	00	00	10	01	67	00	55	00	00	00	00	00	00	00	00	00	00	00	18	18	1E	17	14	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022747A0	Lilim	莉莉姆	リリム	01	00	08	00	20	00	18	00	00	00	00	00	15	00	5B	00	AD	03	00	00	00	00	00	00	00	00	00	00	11	17	12	19	14	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022747D0	Lilith	莉莉丝	リリス	01	00	29	00	3C	00	36	00	00	00	00	00	19	00	73	01	4B	00	00	00	00	00	00	00	00	00	00	00	21	2B	25	27	23	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274800	Loa	罗瓦	ロア	01	00	B1	01	46	00	B6	00	00	00	00	00	3F	00	5F	00	67	00	00	00	00	00	00	00	00	00	00	00	2A	2F	2B	2E	27	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274830	Lucifer	路西法	ルシファー	01	00	FD	00	5D	00	1E	00	00	00	00	00	ED	00	82	03	00	00	00	00	00	00	00	00	00	00	00	00	3D	3B	3B	38	33	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274860	M. Izanagi Picaro	祸津伊邪那岐・贼神	マガツイザナギ・賊神	01	00	C2	00	30	00	62	00	00	00	00	00	C3	02	47	00	71	00	00	00	00	00	00	00	00	00	00	00	28	26	23	1B	0B	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274890	Macabre	马卡布	マカーブル	01	00	A8	01	49	00	61	00	00	00	00	00	D9	00	55	00	3F	00	00	00	00	00	00	00	00	00	00	00	30	31	2A	30	27	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022748C0	Mada	摩陀	マダ	01	00	9F	00	5A	00	9D	00	00	00	00	00	78	00	35	03	AC	03	00	00	00	00	00	00	00	00	00	00	37	36	3D	3B	30	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022748F0	Magatsu-Izanagi	祸津伊邪那岐	マガツイザナギ	01	00	B8	00	2C	00	62	00	00	00	00	00	C3	02	47	00	71	00	00	00	00	00	00	00	00	00	00	00	25	23	20	19	0A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274920	Makami	真神	マカミ	01	00	2B	00	0F	00	5E	00	00	00	00	00	FA	00	49	00	48	01	00	00	00	00	00	00	00	00	00	00	0D	0C	08	0B	08	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274950	Mandrake	曼陀罗	マンドレイク	01	00	79	00	03	00	00	00	00	00	00	00	52	00	48	01	00	00	00	00	00	00	00	00	00	00	00	00	02	03	03	04	04	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274980	Mara	魔罗	マーラ	01	00	0D	00	49	00	36	00	00	00	00	00	C3	00	E2	00	77	01	00	00	00	00	00	00	00	00	00	00	33	2B	2B	2D	2C	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022749B0	Maria	玛利亚	マリア	01	00	4A	01	5D	00	0F	00	00	00	00	00	45	03	3E	01	D6	00	00	00	00	00	00	00	00	00	00	00	34	42	35	36	3D	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022749E0	Matador	斗牛士	マタドール	01	00	1D	01	11	00	B2	00	00	00	00	00	BE	00	A2	03	51	01	00	00	00	00	00	00	00	00	00	00	0B	0D	0A	10	08	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274A10	Melchizedek	麦基洗德	メルキセデク	01	00	87	00	3A	00	66	00	00	00	00	00	CA	00	33	00	00	00	00	00	00	00	00	00	00	00	00	00	25	20	28	27	21	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274A40	Messiah	弥赛亚	メサイア	01	00	BD	00	51	00	B1	00	00	00	00	00	C8	02	48	00	CB	00	00	00	00	00	00	00	00	00	00	00	32	32	32	32	32	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274A70	Messiah Picaro	弥赛亚・贼神	メサイア・賊神	01	00	BE	00	5A	00	B1	00	00	00	00	00	C8	02	48	00	F4	00	00	00	00	00	00	00	00	00	00	00	38	38	37	37	37	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274AA0	Metatron	梅塔特隆	メタトロン	01	00	01	00	59	00	A9	00	00	00	00	00	35	00	D5	00	3B	00	00	00	00	00	00	00	00	00	00	00	36	3D	3C	39	2A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274AD0	Michael	米迦勒	ミカエル	01	00	9D	00	57	00	B2	00	00	00	00	00	A0	00	19	00	5C	01	00	00	00	00	00	00	00	00	00	00	39	36	37	38	2E	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274B00	Mishaguji	御社宫司神	ミシャグジさま	01	00	4D	01	34	00	61	00	00	00	00	00	40	03	61	00	C0	00	00	00	00	00	00	00	00	00	00	00	20	20	20	20	23	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274B30	Mithras	米特拉斯	ミトラス	01	00	80	00	27	00	5E	00	00	00	00	00	53	00	4D	00	EC	00	00	00	00	00	00	00	00	00	00	00	13	1A	13	18	12	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274B60	Mitra	密特拉	ミトラ	01	00	27	01	21	00	A8	00	00	00	00	00	37	00	34	00	2D	01	00	00	00	00	00	00	00	00	00	00	1B	19	1B	19	14	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274B90	Mokoi	莫克伊	モコイ	01	00	23	00	09	00	58	00	00	00	00	00	4F	01	50	00	00	00	00	00	00	00	00	00	00	00	00	00	09	05	06	0A	04	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274BC0	Moloch	摩洛	モロク	01	00	8C	00	3C	00	47	00	00	00	00	00	0C	00	6F	00	55	00	00	00	00	00	00	00	00	00	00	00	20	2D	2A	1F	25	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274BF0	Mot	莫特	モト	01	00	17	00	48	00	36	00	00	00	00	00	47	00	54	01	45	00	00	00	00	00	00	00	00	00	00	00	2B	33	30	2A	27	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274C20	Mother Harlot	巴比伦大淫妇	マザーハーロット	01	00	A0	00	55	00	17	00	00	00	00	00	19	00	3F	00	8B	03	00	00	00	00	00	00	00	00	00	00	37	36	30	32	37	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274C50	Mothman	天蛾人	モスマン	01	00	46	00	21	00	16	00	00	00	00	00	05	01	2C	00	AE	03	00	00	00	00	00	00	00	00	00	00	15	18	10	18	15	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274C80	Naga	那伽	ナーガ	01	00	8A	00	18	00	39	00	00	00	00	00	FB	00	11	01	29	00	00	00	00	00	00	00	00	00	00	00	0F	11	0F	11	0F	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274CB0	Narcissus	那耳喀索斯	ナルキッソス	01	00	1E	00	30	00	AD	00	00	00	00	00	50	00	22	00	48	01	00	00	00	00	00	00	00	00	00	00	1B	1F	1D	21	1F	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274CE0	Nebiros	奈比洛斯	ネビロス	01	00	52	00	4A	00	A4	00	00	00	00	00	60	00	C3	00	55	01	00	00	00	00	00	00	00	00	00	00	2D	34	2C	2E	2A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274D10	Neko Shogun	猫将军	ネコショウグン	01	00	2A	01	1E	00	56	00	00	00	00	00	BF	00	2D	01	56	01	64	01	00	00	00	00	00	00	00	00	13	14	13	15	12	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274D40	Nekomata	猫又	ネコマタ	01	00	49	00	11	00	4E	00	00	00	00	00	21	00	06	01	54	00	00	00	00	00	00	00	00	00	00	00	0D	0A	0C	0F	08	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274D70	Nigi Mitama	和魂	ニギミタマ	01	00	97	00	16	00	0E	00	00	00	00	00	49	01	2D	01	39	00	00	00	00	00	00	00	00	00	00	00	0D	0F	0F	10	0E	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274DA0	Norn	诺伦	ノルン	01	00	8D	00	34	00	2E	00	00	00	00	00	2A	00	20	00	51	00	00	00	00	00	00	00	00	00	00	00	1E	26	21	22	1C	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274DD0	Nue	奴延	ヌエ	01	00	85	00	14	00	36	00	00	00	00	00	43	00	05	01	00	00	00	00	00	00	00	00	00	00	00	00	10	0A	11	0E	0A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274E00	Obariyon	背背鬼	オバリヨン	01	00	38	00	08	00	39	00	00	00	00	00	E0	00	5B	01	00	00	00	00	00	00	00	00	00	00	00	00	07	03	09	08	04	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274E30	Oberon	奥伯隆	オベロン	01	00	32	00	42	00	16	00	00	00	00	00	2A	00	51	00	EC	00	00	00	00	00	00	00	00	00	00	00	28	2D	2A	2B	23	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274E60	Odin	奥丁	オーディン	01	00	0A	00	54	00	A1	00	00	00	00	00	96	00	FE	00	55	01	00	00	00	00	00	00	00	00	00	00	35	3A	36	34	2A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274E90	Okuninushi	大国主	オオクニヌシ	01	00	FF	00	36	00	A4	00	00	00	00	00	C2	00	FE	00	54	01	00	00	00	00	00	00	00	00	00	00	27	23	21	20	1E	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274EC0	Ongyo-Ki	隐形鬼	オンギョウキ	01	00	5C	00	59	00	AE	00	00	00	00	00	FE	00	57	00	B2	03	00	00	00	00	00	00	00	00	00	00	38	35	39	3B	31	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274EF0	Oni	鬼	オニ	01	00	28	00	14	00	3E	00	00	00	00	00	F1	00	20	03	E0	00	00	00	00	00	00	00	00	00	00	00	13	09	11	0C	0A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274F20	Onmoraki	阴摩罗鬼	オンモラキ	01	00	84	00	0C	00	2E	00	00	00	00	00	40	00	7D	01	00	00	00	00	00	00	00	00	00	00	00	00	09	0C	07	0A	05	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274F50	Orichalcum	奥利哈钢	オリハルコン	01	00	72	00	3C	00	21	01	00	00	00	00	78	00	82	00	8C	00	96	00	C5	00	B0	00	A0	00	AA	00	3C	3C	3C	3C	3C	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274F80	Orlov	奥尔洛夫	オルロフ	01	00	6E	00	1E	00	1D	01	00	00	00	00	0E	00	18	00	22	00	2C	00	C2	00	4D	00	3A	00	44	00	1E	1E	1E	1E	1E	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274FB0	Orobas	欧若博司	オロバス	01	00	35	00	11	00	36	00	00	00	00	00	0D	00	51	01	64	01	00	00	00	00	00	00	00	00	00	00	0B	0E	0F	0C	06	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274FE0	Orpheus	俄耳甫斯	オルフェウス	01	00	B5	00	1A	00	BE	00	00	00	00	00	C0	02	0B	00	59	01	00	00	00	00	00	00	00	00	00	00	11	11	11	11	11	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275010	Orpheus (F)	俄耳甫斯	オルフェウス	01	00	6D	01	0B	00	BE	00	00	00	00	00	CA	02	0A	00	59	01	25	03	00	00	00	00	00	00	00	00	08	09	08	09	06	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275040	Orpheus (F) Picaro	俄耳甫斯・贼神	オルフェウス・賊神	01	00	73	01	0D	00	BE	00	00	00	00	00	CA	02	0D	00	5A	01	25	03	00	00	00	00	00	00	00	00	09	0B	09	0A	07	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275070	Orpheus Picaro	俄耳甫斯・贼神	オルフェウス・賊神	01	00	BF	00	1D	00	BE	00	00	00	00	00	C0	02	0E	00	5E	01	00	00	00	00	00	00	00	00	00	00	13	13	13	13	13	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022750A0	Orthrus	欧特鲁斯	オルトロス	01	00	44	00	15	00	4F	00	00	00	00	00	0B	00	FA	00	0D	00	00	00	00	00	00	00	00	00	00	00	10	0E	0E	13	07	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022750D0	Ose	欧赛	オセ	01	00	0E	00	2A	00	3E	00	00	00	00	00	14	01	21	03	68	01	00	00	00	00	00	00	00	00	00	00	20	18	19	1F	15	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275100	Pale Rider	苍白骑土	ペイルライダー	01	00	1E	01	36	00	11	00	00	00	00	00	5F	00	42	00	0C	01	00	00	00	00	00	00	00	00	00	00	20	25	21	28	1B	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275130	Parvati	帕尔瓦蒂	パールヴァティ	01	00	2C	00	38	00	5E	00	00	00	00	00	2D	01	C0	00	8C	01	00	00	00	00	00	00	00	00	00	00	21	27	21	27	1F	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275160	Pazuzu	帕祖祖	パズス	01	00	34	01	2D	00	AA	00	00	00	00	00	44	00	53	00	3D	00	00	00	00	00	00	00	00	00	00	00	1D	21	1B	1A	1B	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275190	Phoenix	凤凰	ホウオウ	01	00	28	01	15	00	A6	00	00	00	00	00	4A	00	09	01	20	03	00	00	00	00	00	00	00	00	00	00	0C	0F	0F	11	0B	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022751C0	Pisaca	毕舍遮	ピシャーチャ	01	00	86	00	1C	00	46	00	00	00	00	00	09	01	F1	00	6F	00	00	00	00	00	00	00	00	00	00	00	13	15	15	10	0E	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022751F0	Pixie	皮克希	ピクシー	01	00	06	00	02	00	16	00	00	00	00	00	28	00	2C	01	00	00	00	00	00	00	00	00	00	00	00	00	01	03	03	04	02	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275220	Power	能天使	パワー	01	00	50	00	29	00	B4	00	00	00	00	00	33	00	0C	01	00	00	00	00	00	00	00	00	00	00	00	00	1E	1A	1C	19	15	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275250	Principality	权天使	プリンシパリティ	01	00	29	01	1D	00	A8	00	00	00	00	00	3A	00	57	00	00	00	00	00	00	00	00	00	00	00	00	00	11	13	12	15	13	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275280	Queen Mab	妖精女王	クイーンメイブ	01	00	39	00	2B	00	16	00	00	00	00	00	2C	00	57	00	AC	03	00	00	00	00	00	00	00	00	00	00	17	23	1A	1E	16	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022752B0	Queen's Necklace	王后的项链	女王の首飾り	01	00	6B	00	0F	00	1A	01	00	00	00	00	4F	01	50	01	51	01	36	01	31	01	59	01	5A	01	5B	01	0F	0F	0F	0F	0F	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022752E0	Quetzalcoatl	羽蛇神	ケツアルカトル	01	00	2F	01	42	00	A2	00	00	00	00	00	22	00	20	00	11	01	00	00	00	00	00	00	00	00	00	00	29	2E	29	2B	22	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275310	Raja Naga	那伽王	ナーガラジャ	01	00	89	00	37	00	A0	00	00	00	00	00	2A	00	84	01	53	00	00	00	00	00	00	00	00	00	00	00	21	25	24	23	1F	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275340	Rakshasa	罗刹	ラクシャーサ	01	00	22	00	18	00	49	00	00	00	00	00	D3	00	7F	01	4F	01	00	00	00	00	00	00	00	00	00	00	14	0F	12	11	09	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275370	Rangda	兰达	ランダ	01	00	2A	00	30	00	AA	00	00	00	00	00	F2	00	10	01	21	03	00	00	00	00	00	00	00	00	00	00	1C	22	1E	21	1A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022753A0	Raoul	劳尔	ラウール	01	00	6B	01	4C	00	C1	00	00	00	00	00	CC	02	42	00	59	03	00	00	00	00	00	00	00	00	00	00	2F	30	2B	36	2A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022753D0	Raphael	拉斐尔	ラファエル	01	00	18	00	4E	00	56	00	00	00	00	00	D5	00	68	01	64	01	00	00	00	00	00	00	00	00	00	00	39	2D	31	37	23	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275400	Red Rider	红骑士	レッドライダー	01	00	30	01	29	00	61	00	00	00	00	00	DD	00	8C	01	C2	00	00	00	00	00	00	00	00	00	00	00	1A	1B	19	1D	17	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275430	Regent	摄政王	リージェント	01	00	6A	00	0A	00	19	01	00	00	00	00	0D	00	17	00	21	00	2B	00	C1	00	4C	00	39	00	43	00	0A	0A	0A	0A	0A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275460	Saki Mitama	幸魂	サキミタマ	01	00	9A	00	06	00	B4	00	00	00	00	00	14	00	48	01	7F	01	00	00	00	00	00	00	00	00	00	00	04	06	05	06	04	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275490	Sandalphon	圣德芬	サンダルフォン	01	00	3A	00	4B	00	67	00	00	00	00	00	35	00	37	01	3C	01	00	00	00	00	00	00	00	00	00	00	2E	33	31	30	26	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022754C0	Sandman	睡魔	ザントマン	01	00	3D	00	17	00	4E	00	00	00	00	00	5A	00	1F	00	13	01	00	00	00	00	00	00	00	00	00	00	0B	0D	0E	11	15	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022754F0	Sarasvati	妙音天女	サラスヴァティ	01	00	12	00	32	00	0E	00	00	00	00	00	32	01	7D	01	53	00	00	00	00	00	00	00	00	00	00	00	1E	23	20	21	1B	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275520	Satan	撒旦	サタン	01	00	FC	00	5C	00	9F	00	00	00	00	00	82	00	83	00	40	03	00	00	00	00	00	00	00	00	00	00	3E	3B	37	34	37	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275550	Satanael	撒旦耶尔	サタナエル	01	00	AA	00	5F	00	41	00	00	00	00	00	45	00	48	00	29	03	E3	00	00	00	00	00	00	00	00	00	3F	3C	39	38	38	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275580	Scathach	斯卡哈	スカアハ	01	00	19	00	4D	00	5E	00	00	00	00	00	19	00	FE	00	73	01	00	00	00	00	00	00	00	00	00	00	30	34	2E	30	2C	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022755B0	Seiryu	青龙	セイリュウ	01	00	12	01	3E	00	06	00	00	00	00	00	16	00	2E	01	55	01	00	00	00	00	00	00	00	00	00	00	26	29	2B	25	22	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022755E0	Setanta	瑟坦特	セタンタ	01	00	25	00	19	00	3E	00	00	00	00	00	D3	00	13	01	20	03	50	01	00	00	00	00	00	00	00	00	13	10	12	0D	10	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275610	Seth	赛特	セト	01	00	05	01	33	00	B2	00	00	00	00	00	E2	00	0C	00	56	01	22	03	00	00	00	00	00	00	00	00	20	23	1E	23	1C	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275640	Shiisaa	狮爷	シーサー	01	00	3C	00	0F	00	A6	00	00	00	00	00	FA	00	05	01	49	00	00	00	00	00	00	00	00	00	00	00	0A	0B	0B	0B	09	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275670	Shiki-Ouji	式王子	シキオウジ	01	00	33	00	12	00	A4	00	00	00	00	00	4F	01	5C	00	E4	00	00	00	00	00	00	00	00	00	00	00	10	0E	0C	09	0A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022756A0	Shiva	湿婆	シヴァ	01	00	9C	00	52	00	A4	00	00	00	00	00	C5	00	2D	00	26	03	00	00	00	00	00	00	00	00	00	00	37	36	35	35	26	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022756D0	Siegfried	齐格飞	ジークフリード	01	00	B5	01	54	00	3E	00	00	00	00	00	D4	00	56	01	22	03	00	00	00	00	00	00	00	00	00	00	3D	2B	37	37	2D	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275700	Silky	希路奇	シルキー	01	00	7C	00	06	00	2E	00	00	00	00	00	5A	00	14	00	00	00	00	00	00	00	00	00	00	00	00	00	04	07	04	05	05	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275730	Skadi	丝卡蒂	スカディ	01	00	4D	00	35	00	BB	00	00	00	00	00	DE	00	55	00	90	03	00	00	00	00	00	00	00	00	00	00	21	27	20	22	1C	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275760	Slime	软泥怪	スライム	01	00	54	00	0A	00	46	00	00	00	00	00	C8	00	54	00	00	00	00	00	00	00	00	00	00	00	00	00	09	06	0B	06	05	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275790	Sraosha	斯拉欧加	スラオシャ	01	00	24	01	50	00	A8	00	00	00	00	00	38	00	35	00	8A	03	00	00	00	00	00	00	00	00	00	00	2F	38	2D	38	2B	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022757C0	Stone of Scone	命运之石	スクーンの石	01	00	6C	00	14	00	1B	01	00	00	00	00	0B	00	15	00	1F	00	29	00	BF	00	4A	00	37	00	41	00	14	14	14	14	14	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022757F0	Succubus	女梦魔	サキュバス	01	00	45	00	07	00	4E	00	00	00	00	00	5A	00	6D	01	00	00	00	00	00	00	00	00	00	00	00	00	04	07	05	08	04	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275820	Sudama	山灵	スダマ	01	00	81	00	11	00	58	00	00	00	00	00	C1	00	CD	00	4F	01	00	00	00	00	00	00	00	00	00	00	09	0E	0C	0D	0A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275850	Sui-Ki	水鬼	スイキ	01	00	5E	00	18	00	9E	00	00	00	00	00	17	00	04	01	15	00	00	00	00	00	00	00	00	00	00	00	10	0F	0F	12	0F	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275880	Surt	斯尔特	スルト	01	00	B0	01	53	00	9C	00	00	00	00	00	79	00	48	03	D4	00	00	00	00	00	00	00	00	00	00	00	37	36	33	32	2E	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022758B0	Suzaku	朱雀	スザク	01	00	11	01	10	00	AD	00	00	00	00	00	49	00	59	01	60	00	00	00	00	00	00	00	00	00	00	00	09	0C	0A	0F	09	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022758E0	Take-Minakata	建御名方	タケミナカタ	01	00	58	00	1A	00	A0	00	00	00	00	00	29	00	C9	00	4B	03	00	00	00	00	00	00	00	00	00	00	11	13	12	10	0F	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275910	Tam Lin	塔姆林	タムリン	01	00	AE	01	1B	00	AD	00	00	00	00	00	C9	00	0C	01	6D	01	00	00	00	00	00	00	00	00	00	00	15	10	12	10	11	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275940	Thanatos	塔纳托斯	タナトス	01	00	B6	00	41	00	B9	00	00	00	00	00	C2	02	45	00	3F	00	00	00	00	00	00	00	00	00	00	00	2B	31	29	26	1F	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275970	Thanatos Picaro	塔纳托斯・贼神	タナトス・賊神	01	00	C0	00	45	00	B9	00	00	00	00	00	C2	02	45	00	3F	00	00	00	00	00	00	00	00	00	00	00	2D	33	2B	28	23	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022759A0	Thor	托尔	トール	01	00	0F	00	40	00	2E	00	00	00	00	00	2A	00	CA	00	22	03	00	00	00	00	00	00	00	00	00	00	2C	27	2B	26	23	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022759D0	Thoth	托特	トート	01	00	63	00	24	00	5E	00	00	00	00	00	5C	00	4A	00	60	01	00	00	00	00	00	00	00	00	00	00	15	1C	15	18	15	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275A00	Throne	座天使	ソロネ	01	00	AF	01	48	00	BA	00	00	00	00	00	0C	00	33	00	AC	03	00	00	00	00	00	00	00	00	00	00	2A	31	2B	2E	2B	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275A30	Thunderbird	雷鸟	サンダーバード	01	00	AA	01	22	00	A0	00	00	00	00	00	2C	00	4F	01	AE	03	00	00	00	00	00	00	00	00	00	00	11	18	18	1A	12	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275A60	Titania	缇坦妮雅	ティターニア	01	00	26	00	38	00	11	00	00	00	00	00	4B	00	2A	00	5B	00	00	00	00	00	00	00	00	00	00	00	20	28	23	26	1E	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275A90	Trumpeter	吹号者	トランペッター	01	00	1B	01	3B	00	06	00	00	00	00	00	4E	00	5F	00	16	01	00	00	00	00	00	00	00	00	00	00	21	2A	28	26	1F	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275AC0	Tsukiyomi	月读	ツキヨミ	01	00	BC	00	32	00	BF	00	00	00	00	00	C7	02	82	03	FE	00	67	00	00	00	00	00	00	00	00	00	26	20	21	25	11	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275AF0	Tsukiyomi Picaro	月读・贼神	ツキヨミ・賊神	01	00	C6	00	37	00	BF	00	00	00	00	00	C7	02	82	03	FE	00	68	00	00	00	00	00	00	00	00	00	29	23	24	28	14	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275B20	Unicorn	独角兽	ユニコーン	01	00	10	00	27	00	A8	00	00	00	00	00	C9	00	34	00	63	01	00	00	00	00	00	00	00	00	00	00	14	1B	19	1C	18	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275B50	Uriel	鸟列尔	ウリエル	01	00	11	00	51	00	AF	00	00	00	00	00	F3	00	FE	00	10	01	00	00	00	00	00	00	00	00	00	00	32	36	31	37	2A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
